id,title,tags
11.0,Star Wars,StarWarsCollection Adventure Action ScienceFiction Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire MarkHamill HarrisonFord CarrieFisher GeorgeLucas
12.0,Finding Nemo,FindingNemoCollection Animation Family Nemo an adventurous young clownfish is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks surfer dude turtles hypnotic jellyfish hungry seagulls and more along the way AlbertBrooks EllenDeGeneres AlexanderGould AndrewStanton
16.0,Dancer in the Dark,HeartofGoldCollection Drama Crime Music Selma a Czech immigrant on the verge of blindness struggles to make ends meet for herself and her son who has inherited the same genetic disorder and will suffer the same fate without an expensive operation When life gets too difficult Selma learns to cope through her love of musicals escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings Björk CatherineDeneuve DavidMorse LarsvonTrier
22.0,Pirates of the Caribbean: The Curse of the Black Pearl,PiratesoftheCaribbeanCollection Adventure Fantasy Action Jack Sparrow a freewheeling 17th-century pirate who roams the Caribbean Sea butts heads with a rival pirate bent on pillaging the village of Port Royal When the governor's daughter is kidnapped Sparrow decides to help the girl's love save her But their seafaring mission is hardly simple JohnnyDepp GeoffreyRush OrlandoBloom GoreVerbinski
24.0,Kill Bill: Vol. 1,KillBillCollection Action Crime An assassin is shot at the altar by her ruthless employer Bill and other members of their assassination circle – but 'The Bride' lives to plot her vengeance Setting out for some payback she makes a death list and hunts down those who wronged her saving Bill for last UmaThurman LucyLiu VivicaAFox QuentinTarantino
25.0,Jarhead,JarheadCollection Drama War Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War After putting up with an arduous boot camp Swafford and his unit are sent to the Persian Gulf where they are earger to fight but are forced to stay back from the action Meanwhile Swofford gets news of his girlfriend is cheating on him Desperately he wants to kill someone and finally put his training to use JamieFoxx JakeGyllenhaal ScottMacDonald SamMendes
58.0,Pirates of the Caribbean: Dead Man's Chest,PiratesoftheCaribbeanCollection Adventure Fantasy Action Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones he also attempts to avoid eternal damnation JohnnyDepp OrlandoBloom KeiraKnightley GoreVerbinski
62.0,2001: A Space Odyssey,TheSpaceOdysseySeries ScienceFiction Mystery Adventure Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000 the world's most advanced super computer KeirDullea GaryLockwood WilliamSylvester StanleyKubrick
76.0,Before Sunrise,BeforeCollection Drama Romance A dialogue marathon of a film this fairytale love story of an American boy and French girl During a day and a night together in Vienna their two hearts collide EthanHawke JulieDelpy AndreaEckert RichardLinklater
78.0,Blade Runner,BladeRunnerCollection ScienceFiction Drama Thriller In the smog-choked dystopian Los Angeles of 2019 blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans HarrisonFord RutgerHauer SeanYoung RidleyScott
80.0,Before Sunset,BeforeCollection Drama Romance Nine years ago two strangers met by chance and spent a night in Vienna that ended before sunrise They are about to meet for the first time since Now they have one afternoon to find out if they belong together EthanHawke JulieDelpy VernonDobtcheff RichardLinklater
83.0,Open Water,OpenWaterCollection Drama Thriller Two divers are left out at sea without a boat There’s nothing but water for miles unless they look at what’s underneath them BlanchardRyan DanielTravis SaulStein ChrisKentis
85.0,Raiders of the Lost Ark,IndianaJonesCollection Adventure Action When Dr Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant he finds himself up against the entire Nazi regime HarrisonFord KarenAllen PaulFreeman StevenSpielberg
87.0,Indiana Jones and the Temple of Doom,IndianaJonesCollection Adventure Action After arriving in India Indiana Jones is asked by a desperate village to find a mystical stone He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace HarrisonFord KateCapshaw JonathanKeQuan StevenSpielberg
88.0,Dirty Dancing,DirtyDancingCollection Drama Music Romance Expecting the usual tedium that accompanies a summer in the Catskills with her family 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer – and unexpectedly falling in love JenniferGrey PatrickSwayze JerryOrbach EmileArdolino
89.0,Indiana Jones and the Last Crusade,IndianaJonesCollection Adventure Action When Dr Henry Jones Sr suddenly goes missing while pursuing the Holy Grail eminent archaeologist Indiana must team up with Marcus Brody Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life HarrisonFord SeanConnery DenholmElliott StevenSpielberg
90.0,Beverly Hills Cop,BeverlyHillsCopCollection Action Comedy Crime Tough-talking Detroit cop Axel Foley heads to the rarified world of Beverly Hills in his beat-up Chevy Nova to investigate a friend's murder But soon he realizes he's stumbled onto something much more complicated Bungling rookie detective Billy Rosewood joins the fish-out-of-water Axel and shows him the West Los Angeles ropes EddieMurphy JudgeReinhold JohnAshton MartinBrest
96.0,Beverly Hills Cop II,BeverlyHillsCopCollection Action Comedy Crime Detroit cop Axel Foley heads for the land of sunshine and palm trees to find out who shot police Captain Andrew Bogomil Thanks to a couple of old friends Axel's investigation uncovers a series of robberies masterminded by a heartless weapons kingpin – and the chase is on EddieMurphy JudgeReinhold JohnAshton TonyScott
97.0,Tron,"TRONCollection ScienceFiction Action Adventure As Kevin Flynn searches for proof that he invented a hit video game he is ""digitalized"" by a laser and finds himself inside The Grid where programs suffer under the tyrannical rule of the Master Control Program With the help of TRON a security program Flynn seeks to free The Grid from the MCP JeffBridges BruceBoxleitner DavidWarner StevenLisberger"
105.0,Back to the Future,BacktotheFutureCollection Adventure Comedy ScienceFiction Family Eighties teenager Marty McFly is accidentally sent back in time to 1955 inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985 MichaelJFox ChristopherLloyd LeaThompson RobertZemeckis
106.0,Predator,PredatorCollection ScienceFiction Action Adventure Thriller Dutch and his group of commandos are hired by the CIA to rescue downed airmen from guerillas in a Central American jungle The mission goes well but as they return they find that something is hunting them Nearly invisible it blends in with the forest taking trophies from the bodies of its victims as it goes along Occasionally seeing through its eyes the audience sees it is an intelligent alien hunter hunting them for sport killing them off one at a time ArnoldSchwarzenegger CarlWeathers ElpidiaCarrillo JohnMcTiernan
108.0,Three Colors: Blue,ThreeColorsCollection Drama Music Mystery A woman struggles to find a way to live her life after the death of her husband and child JulietteBinoche BenoîtRégent FlorencePernel KrzysztofKieślowski
109.0,Three Colors: White,ThreeColorsCollection Comedy Drama Mystery Polish immigrant Karol Karol finds himself out of a marriage a job and a country when his French wife Dominique divorces him after six months due to his impotence Forced to leave France after losing the business they jointly owned Karol enlists fellow Polish expatriate Mikolah to smuggle him back to their homeland ZbigniewZamachowski JulieDelpy JanuszGajos KrzysztofKieślowski
110.0,Three Colors: Red,ThreeColorsCollection Drama Mystery Romance Red This is the third film from the trilogy by Kieślowski “Red” meaning brotherliness Here Kieślowski masterly tells strange coincidentally linked stories in the most packed work IrèneJacob Jean-LouisTrintignant Jean-PierreLorit KrzysztofKieślowski
120.0,The Lord of the Rings: The Fellowship of the Ring,TheLordoftheRingsCollection Adventure Fantasy Action Young hobbit Frodo Baggins after inheriting a mysterious ring from his uncle Bilbo must leave his home in order to keep it from falling into the hands of its evil creator Along the way a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt Doom the only place where it can be destroyed ElijahWood IanMcKellen CateBlanchett PeterJackson
121.0,The Lord of the Rings: The Two Towers,TheLordoftheRingsCollection Adventure Fantasy Action Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli Legolas and Aragorn search for the orc-captured Merry and Pippin All along nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard ElijahWood IanMcKellen ViggoMortensen PeterJackson
