name
John Lasseter
Joe Johnston
Howard Deutch
Forest Whitaker
Charles Shyer
Michael Mann
Sydney Pollack
Peter Hyams
Martin Campbell
Rob Reiner
Simon Wells
Oliver Stone
Renny Harlin
Martin Scorsese
Ang Lee
Allison Anders
Alexandre Rockwell
Robert Rodriguez
Quentin Tarantino
Steve Oedekerk
Joseph Ruben
Barry Sonnenfeld
Jon Amiel
Richard Donner
Victor Salva
Lesli Linka Glatter
Jean-Pierre Jeunet
John N. Smith
Terry Gilliam
Andy Tennant
Amy Heckerling
Richard Loncraine
Albert Hughes
Allen Hughes
Michael Hoffman
Paul W.S. Anderson
Gus Van Sant
Jocelyn Moorhouse
David Fincher
Mike Gabriel
Eric Goldberg
Patricia Rozema
Bryan Singer
Holly Goldberg Sloan
Ulu Grosbard
Jodie Foster
Michael Radford
Frank Oz
John Schlesinger
Stephen Herek
Paris Barclay
Jason Bloom
James Foley
F. Gary Gray
Andrew Sipes
Noah Baumbach
Michael Goldenberg
Christian Duguay
Sean Penn
Brian Gibson
Gary Fleder
Ridley Scott
Ken Kwapis
Penelope Spheeris
John Badham
Stephen Frears
Wes Craven
Ted Demme
John Woo
Mathieu Kassovitz
Harold Becker
Wes Anderson
Nick Castle
Dennis Dugan
Clint Eastwood
Brian Henson
Mel Gibson
Benjamin Ross
Reginald Hudlin
David O. Russell
Peter MacDonald
William Friedkin
David S. Ward
Jon Avnet
Mike Nichols
Michael Bay
Scott Kalvert
Ron Howard
Michael Caton-Jones
Abel Ferrara
Joel Schumacher
Paul Auster
Wayne Wang
Michael Moore
Brad Silberling
Spike Lee
Tony Scott
Terry Zwigoff
John McTiernan
Gregg Araki
Jerry Zucker
Iain Softley
Christopher Ashley
Robert Longo
Danny Cannon
John Fortenberry
Larry Clark
Clive Barker
Kevin Smith
Bryan Spicer
Michael Almereyda
Todd Haynes
Roland Joffé
Paul Verhoeven
Lasse Hallström
Roger Donaldson
Kathryn Bigelow
Jacques Demy
Martha Coolidge
Agnieszka Holland
Beeban Kidron
Geoff Murphy
Alfonso Aráu
Kevin Reynolds
Walter Hill
Greg Beeman
Milčo Mančevski
Richard Linklater
Tamra Davis
Herbert Ross
Jeremy Leven
Barry Levinson
Roman Polanski
Peter Farrelly
Atom Egoyan
Garry Marshall
Lawrence Kasdan
Billy Crystal
Kevin Lima
Paul Brizzi
Brett Leonard
Carlo Carlei
Gérard Corbiau
Steve James
Bernard Rose
Steven Brill
Fred Schepisi
Neil Jordan
Ivan Reitman
Arne Glimcher
Michael Gottlieb
Barbet Schroeder
George Lucas
Gillian Armstrong
Alfonso Cuarón
Edward Zwick
Glenn Gordon Caron
Stephen Gyllenhaal
Nicholas Hytner
Kenneth Branagh
Richard Benjamin
Les Mayfield
Gregory Nava
Marc Rocco
Michael Apted
Norman Jewison
Lee Tamahori
Anne Goursaud
Wolfgang Petersen
Luc Besson
Mario Van Peebles
Robert Redford
Sam Raimi
Robert Altman
Richard Rich
Luis Llosa
John Pasquin
Danny Boyle
George Huang
Kelly Makin
Rachel Talalay
Ernest R. Dickerson
David Carson
John Carpenter
Peter Segal
Louis Malle
Jon Turteltaub
P.J. Hogan
Tom Shadyac
Phillip Noyce
Jessie Nelson
Alex Proyas
Brian Levant
Mike Newell
John Singleton
Andrew Bergman
Stephen Sommers
Roger Allers
Rob Minkoff
Bernardo Bertolucci
Chuck Russell
Alan Rudolph
Ben Stiller
Donald Petrie
Robert Allan Ackerman
Curtis Hanson
Jan de Bont
Luis Mandoki
Russ Meyer
Andrew Morahan
Jeff Pollack
Jonathan Kaplan
John Landis
Caroline Thompson
Stephen Hopkins
Tony Richardson
Jennifer Chambers Lynch
Brian De Palma
Paul Weiland
Steve Barron
Richard Rush
Michael Ritchie
Gregg Champion
Marco Brambilla
Carl Reiner
Peter Weir
Simon Wincer
Andrew Davis
Bruce Beresford
Sidney Lumet
Christopher Monger
Bille August
Dominic Sena
Steven Soderbergh
Daniel Petrie
James Lapine
David Cronenberg
Anthony Minghella
Mike Leigh
Christopher Cain
Jonathan Demme
Jane Campion
Stuart Orme
Mel Smith
James Ivory
Penny Marshall
Fred Dekker
Peter Medak
Geoffrey Wright
David Anspaugh
John Waters
Russell Mulcahy
Gillies MacKinnon
Nora Ephron
Steve Rash
Thomas Schlamme
Annabel Jankel
Rocky Morton
Deran Sarafian
Henry Selick
George P. Cosmatos
Pixote Hunt
Maurice Hunt
Todd Solondz
Dennis Hopper
Pedro Almodóvar
Lina Wertmüller
George T. Miller
Rob Epstein
Jeffrey Friedman
Betty Thomas
Gary Trousdale
Kirk Wise
Sam Peckinpah
C.M. Talkington
Bill Condon
Gerald Potterton
Kevin Yagher
Joe Chappelle
Wolfgang Reitherman
Bill Couturié
Stacy Title
Gregory Hoblit
Paul Sabella
Ken Loach
Richard Pearce
Jonathan Lynn
Jeremiah S. Chechik
Rob Cohen
René Clément
Alan Mehrez
Joe Pytka
Robert Mandel
John Cassavetes
George Scribner
Alan Shapiro
Jack Hill 
Harold Ramis
Phil Joanou
Michele Soavi
Rick Friedberg
Nick Park
Stanley Kubrick
Kevin James Dobson
Joseph Vilsmaier
John Sayles
Bronwen Hughes
Edward Burns
Michael Corrente
Kevin Hooks
Paul Michael Glaser
Howard Franklin
Arlene Sanford
John Payson
Hart Bochner
Tim Pope
Harry Winer
Georges Franju
Julian Schnabel
Arthur Hiller
John Frankenheimer
Roy Allen Smith
Keith Gordon
Stanley Donen
Gene Kelly
Vincente Minnelli
Blake Edwards
Alfred Hitchcock
George Cukor
William Wyler
Leo McCarey
George Stevens
Elia Kazan
Michael Anderson
Richard Brooks
Joshua Logan
Carroll Ballard
Ringo Lam
John Gray
Robert Lieberman
Norman Tokar
Norman Foster
John Hough
Robert Stevenson
David Swift
Duwayne Dunham
Charles Barton
Ken Annakin
Richard Fleischer
William Dear
Clyde Geronimi
Wilfred Jackson
Hamilton Luske
Don Chaffey
Ted Berman
Art Stevens
Matthew Bright
Robert Wise
Nick Cassavetes
Tom Hanks
Michael Pressman
Hettie MacDonald
Steve Buscemi
Michael Winterbottom
Doug Liman
Tad Stones
Mel Stuart
Jack Clayton
Charles Crichton
Arthur Penn
Emile Ardolino
Ted Kotcheff
Alan J. Pakula
Nicholas Ray
Greg Spence
Claude Nuridsany
Marie Pérennou
Miloš Forman
Mark Rydell
Ate de Jong
Howard Zieff
Leon Gast
Volker Schlöndorff
Peter Greenaway
Gabriele Salvatores
Errol Morris
Jennie Livingston
Irvin Kershner
Sergio Leone
David Lean
Robert Mulligan
Richard Marquand
George Roy Hill
Hal Ashby
Hal Hartley
Bill Forsyth
Orson Welles
Savage Steve Holland
Franklin J. Schaffner
Stuart Rosenberg
Jean-Paul Rappeneau
Fred Zinnemann
Jeannot Szwarc
Godfrey Reggio
Richard Attenborough
Fred M. Wilcox
Phil Alden Robinson
Doug Pray
John Murlowski
Damiano Damiani
Fred Walton
Irvin S. Yeaworth Jr.
Eric Red
J. Lee Thompson
Bob Rafelson
Barbra Streisand
Jonathan Frakes
Scott Hicks
Patrice Leconte
William Shatner
Leonard Nimoy
Randal Kleiser
Cameron Crowe
Jerry Zaks
Mike Judge
Claude Chabrol
Dan Ireland
Albert Brooks
Nicolas Roeg
Robert Young
Robert Butler
Thomas Carter
Andrew Birkin
E. Max Frye
Stephen Kessler
Greg Mottola
Mark Dindal
David Winning
Tsui Hark
Pat O'Connor
George Armitage
Alex Sichel
David Mirkin
Mick Jackson
Jay Roach
Jonathan Mostow
Simon West
Sam Weisman
Charles Martin Smith
Neil LaBute
Sam Pillsbury
Brett Ratner
John Nicolella
Mimi Leder
Jean-Jacques Annaud
Félix Enríquez Alcalá
Mark Joffe
Peter Cattaneo
John Madden
Stuart Gillard
Andy Wilson
Mark Waters
Andrew Niccol
Charles Sturridge
Costa-Gavras
Paul Thomas Anderson
Gary Goldman
Robert Duvall
Sean Mathias
Gore Verbinski
Roger Spottiswoode
Stanley Tong
Alain Berliner
Sean McNamara
Bob Spiers
Antoine Fuqua
Frank Coraci
Jorge Fons
Jonathan Darby
Peter O'Fallon
John McNaughton
John Roberts
James Toback
Whit Stillman
Jake Kasdan
Gary Oldman
Peter Hewitt
Doug Ellin
Todd Holland
John Warren
Kirk Wong
John Duigan
Frederik Du Chau
Lisa Cholodenko
Tiffanie DeBartolo
Tony Bancroft
Barry Cook
Rob Bowman
Darren Aronofsky
Edward D. Wood Jr.
Cecil B. DeMille
Delbert Mann
Jerome Robbins
Carol Reed
John G. Avildsen
Hugh Hudson
Jim Henson
Jack Sholder
Sean S. Cunningham
Joseph Zito
Rob Hedden
Rick Rosenthal
Dominique Othenin-Girard
Paul Lynch
Bruce Pittman
Jack Bender
Tobe Hooper
John Boorman
Theresa Connelly
Ronald Neame
Gary Nelson
Adrian Lyne
David Nutter
Tommy O'Haver
Rupert Wainwright
Charles Jarrott
Vincent McEveety
Sarah Kelly
Phillip Borsos
Alan Zaslove
Toby Shelton
Tim Hunter
Steven Lisberger
Ralph Bakshi
Fraser Clarke Heston
Lewis Teague
Fritz Kiersch
Dan Kuenster
John Hamburg
Charles A. Nichols
Iwao Takamoto
Jamie Uys
Richard Martin
Kevin Rodney Sullivan
Tamara Jenkins
John De Bello
Stephen Norrington
Randa Haines
Alan Cohn
Mark Christopher
Bob Saget
Vincenzo Natali
Lewis John Carlino
Jerry Schatzberg
Carl Schultz
Terry Hughes
Jamie Blanks
David Dobkin
Lindsay Anderson
Gordon Douglas
Eric Darnell
Tim Johnson
Vincent Ward
Peter Chelsom
Ronny Yu
Trey Parker
John Harrison
Tony Kaye
Hype Williams
Shekhar Kapur
Martin Brest
Andrei Konchalovsky
Bryan Forbes
Norton Virgien
Igor Kovalyov
Predrag Antonijević
John Guillermin
Susan Seidelman
John Glen
Jerry Paris
Jim Drake
Alan Myerson
Peter Bonerz
Troy Miller
Steve Hickner
Alan Metter
Ron Underwood
Anthony Drazan
Franco Zeffirelli
Brian Gilbert
Anand Tucker
Brian Robbins
Rod Amateau
